env,short,alpha_lr,rho_tag,seed,step,trained_1m,normalized_score,alpha_E,alpha_B,episodes,run
halfcheetah-medium-v2,hc-m,2e-3,2em3,0,1000000,1,58.743943,19.441002,13.223562,50,td3fo_jax_a5_tlr2em3_hc-m_s0
halfcheetah-medium-v2,hc-m,2e-3,2em3,1,1000000,1,57.210048,18.630457,13.601438,50,td3fo_jax_a5_tlr2em3_hc-m_s1
halfcheetah-medium-v2,hc-m,2e-3,2em3,2,1000000,1,58.572828,19.575251,13.642685,50,td3fo_jax_a5_tlr2em3_hc-m_s2
halfcheetah-medium-v2,hc-m,2e-3,2em3,3,1000000,1,59.481654,19.042734,13.517348,50,td3fo_jax_a5_tlr2em3_hc-m_s3
halfcheetah-medium-replay-v2,hc-mr,2e-3,2em3,0,1000000,1,49.006759,19.765537,16.762260,50,td3fo_jax_a5_tlr2em3_hc-mr_s0
halfcheetah-medium-replay-v2,hc-mr,2e-3,2em3,1,1000000,1,49.998579,16.829994,17.669811,50,td3fo_jax_a5_tlr2em3_hc-mr_s1
halfcheetah-medium-replay-v2,hc-mr,2e-3,2em3,2,1000000,1,49.579720,17.751732,17.919567,50,td3fo_jax_a5_tlr2em3_hc-mr_s2
halfcheetah-medium-replay-v2,hc-mr,2e-3,2em3,3,1000000,1,48.524591,18.202232,17.530912,50,td3fo_jax_a5_tlr2em3_hc-mr_s3
halfcheetah-medium-expert-v2,hc-me,2e-3,2em3,0,1000000,1,99.708726,20.661476,14.594439,50,td3fo_jax_a5_tlr2em3_hc-me_s0
halfcheetah-medium-expert-v2,hc-me,2e-3,2em3,1,1000000,1,42.139892,20.174881,14.593581,50,td3fo_jax_a5_tlr2em3_hc-me_s1
halfcheetah-medium-expert-v2,hc-me,2e-3,2em3,2,1000000,1,103.260135,20.234783,14.204872,50,td3fo_jax_a5_tlr2em3_hc-me_s2
halfcheetah-medium-expert-v2,hc-me,2e-3,2em3,3,1000000,1,95.636940,20.152859,14.226032,50,td3fo_jax_a5_tlr2em3_hc-me_s3
hopper-medium-v2,h-m,2e-3,2em3,0,1000000,1,102.163334,19.188118,17.034477,50,td3fo_jax_a5_tlr2em3_h-m_s0
hopper-medium-v2,h-m,2e-3,2em3,1,1000000,1,102.593219,19.110365,16.792158,50,td3fo_jax_a5_tlr2em3_h-m_s1
hopper-medium-v2,h-m,2e-3,2em3,2,1000000,1,102.497426,19.705873,16.997593,50,td3fo_jax_a5_tlr2em3_h-m_s2
hopper-medium-v2,h-m,2e-3,2em3,3,1000000,1,101.890833,19.267080,17.267509,50,td3fo_jax_a5_tlr2em3_h-m_s3
hopper-medium-expert-v2,h-me,2e-3,2em3,0,1000000,1,31.636654,20.100651,17.921875,50,td3fo_jax_a5_tlr2em3_h-me_s0
hopper-medium-expert-v2,h-me,2e-3,2em3,1,1000000,1,34.003088,20.560013,17.259672,50,td3fo_jax_a5_tlr2em3_h-me_s1
hopper-medium-expert-v2,h-me,2e-3,2em3,2,1000000,1,44.742702,20.284950,17.668980,50,td3fo_jax_a5_tlr2em3_h-me_s2
hopper-medium-expert-v2,h-me,2e-3,2em3,3,1000000,1,55.458795,20.431887,17.488359,50,td3fo_jax_a5_tlr2em3_h-me_s3
walker2d-medium-v2,w-m,2e-3,2em3,0,1000000,1,88.743190,17.514265,13.048324,50,td3fo_jax_a5_tlr2em3_w-m_s0
walker2d-medium-v2,w-m,2e-3,2em3,1,1000000,1,93.955540,19.050520,13.514798,50,td3fo_jax_a5_tlr2em3_w-m_s1
walker2d-medium-v2,w-m,2e-3,2em3,2,1000000,1,38.533684,19.030163,13.210562,50,td3fo_jax_a5_tlr2em3_w-m_s2
walker2d-medium-v2,w-m,2e-3,2em3,3,1000000,1,96.676762,18.986328,13.242407,50,td3fo_jax_a5_tlr2em3_w-m_s3
walker2d-medium-expert-v2,w-me,2e-3,2em3,0,1000000,1,111.150657,18.165054,12.789113,50,td3fo_jax_a5_tlr2em3_w-me_s0
walker2d-medium-expert-v2,w-me,2e-3,2em3,1,1000000,1,110.295893,19.189104,13.023504,50,td3fo_jax_a5_tlr2em3_w-me_s1
walker2d-medium-expert-v2,w-me,2e-3,2em3,2,1000000,1,112.164829,19.050079,12.872855,50,td3fo_jax_a5_tlr2em3_w-me_s2
walker2d-medium-expert-v2,w-me,2e-3,2em3,3,1000000,1,111.055757,19.404188,12.608905,50,td3fo_jax_a5_tlr2em3_w-me_s3
antmaze-umaze-v2,am-u,3e-4,3em4,0,1000000,1,92.000000,7.838109,6.663254,50,td3fo_jax_a5_tlr3em4_am-u_s0
antmaze-umaze-v2,am-u,3e-4,3em4,1,1000000,1,80.000000,7.783689,6.617980,50,td3fo_jax_a5_tlr3em4_am-u_s1
antmaze-umaze-v2,am-u,3e-4,3em4,2,1000000,1,92.000000,7.650203,6.580784,50,td3fo_jax_a5_tlr3em4_am-u_s2
antmaze-umaze-v2,am-u,3e-4,3em4,3,1000000,1,86.000000,7.792474,6.635314,50,td3fo_jax_a5_tlr3em4_am-u_s3
antmaze-umaze-diverse-v2,am-u-div,3e-4,3em4,0,1000000,1,90.000000,7.351457,6.292595,50,td3fo_jax_a5_tlr3em4_am-u-div_s0
antmaze-umaze-diverse-v2,am-u-div,3e-4,3em4,1,1000000,1,82.000000,7.477764,6.296806,50,td3fo_jax_a5_tlr3em4_am-u-div_s1
antmaze-umaze-diverse-v2,am-u-div,3e-4,3em4,2,1000000,1,84.000000,7.522254,6.337841,50,td3fo_jax_a5_tlr3em4_am-u-div_s2
antmaze-umaze-diverse-v2,am-u-div,3e-4,3em4,3,1000000,1,84.000000,7.426567,6.360920,50,td3fo_jax_a5_tlr3em4_am-u-div_s3
antmaze-medium-play-v2,am-m-p,3e-4,3em4,0,1000000,1,52.000000,7.580512,6.396348,50,td3fo_jax_a5_tlr3em4_am-m-p_s0
antmaze-medium-play-v2,am-m-p,3e-4,3em4,1,1000000,1,54.000000,7.683036,6.568573,50,td3fo_jax_a5_tlr3em4_am-m-p_s1
antmaze-medium-play-v2,am-m-p,3e-4,3em4,2,1000000,1,64.000000,7.721231,6.255915,50,td3fo_jax_a5_tlr3em4_am-m-p_s2
antmaze-medium-play-v2,am-m-p,3e-4,3em4,3,1000000,1,72.000000,7.613192,6.329806,50,td3fo_jax_a5_tlr3em4_am-m-p_s3
antmaze-large-play-v2,am-l-p,3e-4,3em4,0,1000000,1,62.000000,7.569134,6.489682,50,td3fo_jax_a5_tlr3em4_am-l-p_s0
antmaze-large-play-v2,am-l-p,3e-4,3em4,1,1000000,1,38.000000,7.528471,6.279333,50,td3fo_jax_a5_tlr3em4_am-l-p_s1
antmaze-large-play-v2,am-l-p,3e-4,3em4,2,1000000,1,34.000000,7.580852,6.309462,50,td3fo_jax_a5_tlr3em4_am-l-p_s2
antmaze-large-play-v2,am-l-p,3e-4,3em4,3,1000000,1,32.000000,7.600444,6.516052,50,td3fo_jax_a5_tlr3em4_am-l-p_s3
antmaze-large-diverse-v2,am-l-div,3e-4,3em4,0,1000000,1,38.000000,7.601204,6.634231,50,td3fo_jax_a5_tlr3em4_am-l-div_s0
antmaze-large-diverse-v2,am-l-div,3e-4,3em4,1,1000000,1,40.000000,7.494797,6.359147,50,td3fo_jax_a5_tlr3em4_am-l-div_s1
antmaze-large-diverse-v2,am-l-div,3e-4,3em4,2,1000000,1,36.000000,7.558573,6.471990,50,td3fo_jax_a5_tlr3em4_am-l-div_s2
antmaze-large-diverse-v2,am-l-div,3e-4,3em4,3,1000000,1,44.000000,7.685503,6.459418,50,td3fo_jax_a5_tlr3em4_am-l-div_s3
