env,short,alpha_lr,rho_tag,seed,step,trained_1m,normalized_score,episodes,run,note
antmaze-large-diverse-v2,am-l-div,3e-4,3em4,0,1000000,1,18.000000,50,td3rapo_jax_t5_tlr3em4_am-l-div_s0,
antmaze-large-diverse-v2,am-l-div,3e-4,3em4,1,1000000,1,0.000000,50,td3rapo_jax_t5_tlr3em4_am-l-div_s1,
antmaze-large-diverse-v2,am-l-div,3e-4,3em4,2,1000000,1,0.000000,50,td3rapo_jax_t5_tlr3em4_am-l-div_s2,
antmaze-large-diverse-v2,am-l-div,3e-4,3em4,3,1000000,1,0.000000,50,td3rapo_jax_t5_tlr3em4_am-l-div_s3,
antmaze-large-play-v2,am-l-p,3e-4,3em4,0,1000000,1,0.000000,50,td3rapo_jax_t5_tlr3em4_am-l-p_s0,
antmaze-large-play-v2,am-l-p,3e-4,3em4,1,1000000,1,32.000000,50,td3rapo_jax_t5_tlr3em4_am-l-p_s1,
antmaze-large-play-v2,am-l-p,3e-4,3em4,2,1000000,1,6.000000,50,td3rapo_jax_t5_tlr3em4_am-l-p_s2,
antmaze-large-play-v2,am-l-p,3e-4,3em4,3,1000000,1,14.000000,50,td3rapo_jax_t5_tlr3em4_am-l-p_s3,
antmaze-medium-diverse-v2,am-m-div,3e-4,3em4,0,1000000,1,0.000000,50,td3rapo_jax_t5_tlr3em4_am-m-div_s0,
antmaze-medium-diverse-v2,am-m-div,3e-4,3em4,1,1000000,1,0.000000,50,td3rapo_jax_t5_tlr3em4_am-m-div_s1,
antmaze-medium-diverse-v2,am-m-div,3e-4,3em4,2,1000000,1,0.000000,50,td3rapo_jax_t5_tlr3em4_am-m-div_s2,
antmaze-medium-diverse-v2,am-m-div,3e-4,3em4,3,1000000,1,0.000000,50,td3rapo_jax_t5_tlr3em4_am-m-div_s3,
antmaze-medium-play-v2,am-m-p,3e-4,3em4,0,1000000,1,0.000000,50,td3rapo_jax_t5_tlr3em4_am-m-p_s0,
antmaze-medium-play-v2,am-m-p,3e-4,3em4,1,1000000,1,0.000000,50,td3rapo_jax_t5_tlr3em4_am-m-p_s1,
antmaze-medium-play-v2,am-m-p,3e-4,3em4,2,1000000,1,0.000000,50,td3rapo_jax_t5_tlr3em4_am-m-p_s2,
antmaze-medium-play-v2,am-m-p,3e-4,3em4,3,1000000,1,6.000000,50,td3rapo_jax_t5_tlr3em4_am-m-p_s3,
antmaze-umaze-diverse-v2,am-u-div,3e-4,3em4,0,1000000,1,16.000000,50,td3rapo_jax_t5_tlr3em4_am-u-div_s0,
antmaze-umaze-diverse-v2,am-u-div,3e-4,3em4,1,1000000,1,0.000000,50,td3rapo_jax_t5_tlr3em4_am-u-div_s1,
antmaze-umaze-diverse-v2,am-u-div,3e-4,3em4,2,1000000,1,6.000000,50,td3rapo_jax_t5_tlr3em4_am-u-div_s2,
antmaze-umaze-diverse-v2,am-u-div,3e-4,3em4,3,1000000,1,10.000000,50,td3rapo_jax_t5_tlr3em4_am-u-div_s3,
antmaze-umaze-v2,am-u,3e-4,3em4,0,1000000,1,30.000000,50,td3rapo_jax_t5_tlr3em4_am-u_s0,
antmaze-umaze-v2,am-u,3e-4,3em4,1,1000000,1,0.000000,50,td3rapo_jax_t5_tlr3em4_am-u_s1,
antmaze-umaze-v2,am-u,3e-4,3em4,2,1000000,1,50.000000,50,td3rapo_jax_t5_tlr3em4_am-u_s2,
antmaze-umaze-v2,am-u,3e-4,3em4,3,1000000,1,0.000000,50,td3rapo_jax_t5_tlr3em4_am-u_s3,
halfcheetah-medium-expert-v2,hc-me,3e-4,3em4,0,1000000,1,63.718714,50,td3rapo_jax_t5_tlr3em4_hc-me_s0,
halfcheetah-medium-expert-v2,hc-me,3e-4,3em4,1,1000000,1,51.649951,50,td3rapo_jax_t5_tlr3em4_hc-me_s1,
halfcheetah-medium-expert-v2,hc-me,3e-4,3em4,2,1000000,1,59.243810,50,td3rapo_jax_t5_tlr3em4_hc-me_s2,
halfcheetah-medium-expert-v2,hc-me,3e-4,3em4,3,,0,,,td3rapo_jax_t5_tlr3em4_hc-me_s3,running
halfcheetah-medium-replay-v2,hc-mr,3e-4,3em4,0,1000000,1,46.471915,50,td3rapo_jax_t5_tlr3em4_hc-mr_s0,
halfcheetah-medium-replay-v2,hc-mr,3e-4,3em4,1,1000000,1,46.905987,50,td3rapo_jax_t5_tlr3em4_hc-mr_s1,
halfcheetah-medium-replay-v2,hc-mr,3e-4,3em4,2,1000000,1,46.625299,50,td3rapo_jax_t5_tlr3em4_hc-mr_s2,
halfcheetah-medium-replay-v2,hc-mr,3e-4,3em4,3,,0,,,td3rapo_jax_t5_tlr3em4_hc-mr_s3,running
halfcheetah-medium-v2,hc-m,3e-4,3em4,0,1000000,1,49.420175,50,td3rapo_jax_t5_tlr3em4_hc-m_s0,
halfcheetah-medium-v2,hc-m,3e-4,3em4,1,1000000,1,49.436574,50,td3rapo_jax_t5_tlr3em4_hc-m_s1,
halfcheetah-medium-v2,hc-m,3e-4,3em4,2,1000000,1,51.206079,50,td3rapo_jax_t5_tlr3em4_hc-m_s2,
halfcheetah-medium-v2,hc-m,3e-4,3em4,3,1000000,1,49.869240,50,td3rapo_jax_t5_tlr3em4_hc-m_s3,
