env,short,alpha_lr,rho_tag,seed,step,trained_1m,normalized_score,episodes,run
hopper-medium-v2,h-m,2e-3,2em3,0,1000000,1,99.401814,50,td3rapo_jax_t5_tlr2em3_h-m_s0
hopper-medium-v2,h-m,2e-3,2em3,1,1000000,1,98.790456,50,td3rapo_jax_t5_tlr2em3_h-m_s1
hopper-medium-v2,h-m,2e-3,2em3,2,1000000,1,101.177237,50,td3rapo_jax_t5_tlr2em3_h-m_s2
hopper-medium-v2,h-m,2e-3,2em3,3,1000000,1,100.136624,50,td3rapo_jax_t5_tlr2em3_h-m_s3
hopper-medium-replay-v2,h-mr,2e-3,2em3,0,1000000,1,95.280217,50,td3rapo_jax_t5_tlr2em3_h-mr_s0
hopper-medium-replay-v2,h-mr,2e-3,2em3,1,1000000,1,32.500982,50,td3rapo_jax_t5_tlr2em3_h-mr_s1
hopper-medium-replay-v2,h-mr,2e-3,2em3,2,1000000,1,33.425336,50,td3rapo_jax_t5_tlr2em3_h-mr_s2
hopper-medium-replay-v2,h-mr,2e-3,2em3,3,1000000,1,1.297386,50,td3rapo_jax_t5_tlr2em3_h-mr_s3
hopper-medium-expert-v2,h-me,2e-3,2em3,0,1000000,1,3.127043,50,td3rapo_jax_t5_tlr2em3_h-me_s0
hopper-medium-expert-v2,h-me,2e-3,2em3,1,1000000,1,2.602242,50,td3rapo_jax_t5_tlr2em3_h-me_s1
hopper-medium-expert-v2,h-me,2e-3,2em3,2,1000000,1,1.435679,50,td3rapo_jax_t5_tlr2em3_h-me_s2
hopper-medium-expert-v2,h-me,2e-3,2em3,3,1000000,1,0.844917,50,td3rapo_jax_t5_tlr2em3_h-me_s3
walker2d-medium-v2,w-m,2e-3,2em3,0,1000000,1,1.735154,50,td3rapo_jax_t5_tlr2em3_w-m_s0
walker2d-medium-v2,w-m,2e-3,2em3,1,1000000,1,1.748008,50,td3rapo_jax_t5_tlr2em3_w-m_s1
walker2d-medium-v2,w-m,2e-3,2em3,2,1000000,1,1.930144,50,td3rapo_jax_t5_tlr2em3_w-m_s2
walker2d-medium-v2,w-m,2e-3,2em3,3,1000000,1,1.980433,50,td3rapo_jax_t5_tlr2em3_w-m_s3
walker2d-medium-replay-v2,w-mr,2e-3,2em3,0,1000000,1,64.922631,50,td3rapo_jax_t5_tlr2em3_w-mr_s0
walker2d-medium-replay-v2,w-mr,2e-3,2em3,1,1000000,1,10.746214,50,td3rapo_jax_t5_tlr2em3_w-mr_s1
walker2d-medium-replay-v2,w-mr,2e-3,2em3,2,1000000,1,78.878323,50,td3rapo_jax_t5_tlr2em3_w-mr_s2
walker2d-medium-replay-v2,w-mr,2e-3,2em3,3,1000000,1,82.182608,50,td3rapo_jax_t5_tlr2em3_w-mr_s3
walker2d-medium-expert-v2,w-me,2e-3,2em3,0,1000000,1,2.214307,50,td3rapo_jax_t5_tlr2em3_w-me_s0
walker2d-medium-expert-v2,w-me,2e-3,2em3,1,1000000,1,-0.112021,50,td3rapo_jax_t5_tlr2em3_w-me_s1
walker2d-medium-expert-v2,w-me,2e-3,2em3,2,1000000,1,0.013974,50,td3rapo_jax_t5_tlr2em3_w-me_s2
walker2d-medium-expert-v2,w-me,2e-3,2em3,3,1000000,1,29.382234,50,td3rapo_jax_t5_tlr2em3_w-me_s3
hopper-medium-v2,h-m,1e-3,1em3,0,1000000,1,94.774291,50,td3rapo_jax_t5_tlr1em3_h-m_s0
hopper-medium-v2,h-m,1e-3,1em3,1,1000000,1,100.291315,50,td3rapo_jax_t5_tlr1em3_h-m_s1
hopper-medium-v2,h-m,1e-3,1em3,2,1000000,1,80.116829,50,td3rapo_jax_t5_tlr1em3_h-m_s2
hopper-medium-v2,h-m,1e-3,1em3,3,1000000,1,73.432934,50,td3rapo_jax_t5_tlr1em3_h-m_s3
hopper-medium-replay-v2,h-mr,1e-3,1em3,0,1000000,1,34.276472,50,td3rapo_jax_t5_tlr1em3_h-mr_s0
hopper-medium-replay-v2,h-mr,1e-3,1em3,1,1000000,1,91.943641,50,td3rapo_jax_t5_tlr1em3_h-mr_s1
hopper-medium-replay-v2,h-mr,1e-3,1em3,2,1000000,1,34.697176,50,td3rapo_jax_t5_tlr1em3_h-mr_s2
hopper-medium-replay-v2,h-mr,1e-3,1em3,3,1000000,1,11.252141,50,td3rapo_jax_t5_tlr1em3_h-mr_s3
hopper-medium-expert-v2,h-me,1e-3,1em3,0,1000000,1,1.811640,50,td3rapo_jax_t5_tlr1em3_h-me_s0
hopper-medium-expert-v2,h-me,1e-3,1em3,1,1000000,1,17.894171,50,td3rapo_jax_t5_tlr1em3_h-me_s1
hopper-medium-expert-v2,h-me,1e-3,1em3,2,1000000,1,85.908823,50,td3rapo_jax_t5_tlr1em3_h-me_s2
hopper-medium-expert-v2,h-me,1e-3,1em3,3,1000000,1,46.941011,50,td3rapo_jax_t5_tlr1em3_h-me_s3
walker2d-medium-v2,w-m,1e-3,1em3,0,1000000,1,1.761016,50,td3rapo_jax_t5_tlr1em3_w-m_s0
walker2d-medium-v2,w-m,1e-3,1em3,1,1000000,1,1.799388,50,td3rapo_jax_t5_tlr1em3_w-m_s1
walker2d-medium-v2,w-m,1e-3,1em3,2,1000000,1,42.844547,50,td3rapo_jax_t5_tlr1em3_w-m_s2
walker2d-medium-v2,w-m,1e-3,1em3,3,1000000,1,1.980433,50,td3rapo_jax_t5_tlr1em3_w-m_s3
walker2d-medium-replay-v2,w-mr,1e-3,1em3,0,1000000,1,22.352627,50,td3rapo_jax_t5_tlr1em3_w-mr_s0
walker2d-medium-replay-v2,w-mr,1e-3,1em3,1,1000000,1,73.334393,50,td3rapo_jax_t5_tlr1em3_w-mr_s1
walker2d-medium-replay-v2,w-mr,1e-3,1em3,2,1000000,1,31.651978,50,td3rapo_jax_t5_tlr1em3_w-mr_s2
walker2d-medium-replay-v2,w-mr,1e-3,1em3,3,1000000,1,19.598926,50,td3rapo_jax_t5_tlr1em3_w-mr_s3
walker2d-medium-expert-v2,w-me,1e-3,1em3,0,1000000,1,1.159701,50,td3rapo_jax_t5_tlr1em3_w-me_s0
walker2d-medium-expert-v2,w-me,1e-3,1em3,1,1000000,1,30.002895,50,td3rapo_jax_t5_tlr1em3_w-me_s1
walker2d-medium-expert-v2,w-me,1e-3,1em3,2,1000000,1,97.841840,50,td3rapo_jax_t5_tlr1em3_w-me_s2
walker2d-medium-expert-v2,w-me,1e-3,1em3,3,1000000,1,11.003657,50,td3rapo_jax_t5_tlr1em3_w-me_s3
hopper-medium-v2,h-m,3e-4,3em4,0,1000000,1,65.480960,50,td3rapo_jax_t5_tlr3em4_h-m_s0
hopper-medium-v2,h-m,3e-4,3em4,1,1000000,1,86.563675,50,td3rapo_jax_t5_tlr3em4_h-m_s1
hopper-medium-v2,h-m,3e-4,3em4,2,1000000,1,62.222460,50,td3rapo_jax_t5_tlr3em4_h-m_s2
hopper-medium-v2,h-m,3e-4,3em4,3,0,0,,,td3rapo_jax_t5_tlr3em4_h-m_s3
hopper-medium-replay-v2,h-mr,3e-4,3em4,0,1000000,1,48.147062,50,td3rapo_jax_t5_tlr3em4_h-mr_s0
hopper-medium-replay-v2,h-mr,3e-4,3em4,1,1000000,1,47.947912,50,td3rapo_jax_t5_tlr3em4_h-mr_s1
hopper-medium-replay-v2,h-mr,3e-4,3em4,2,1000000,1,45.664868,50,td3rapo_jax_t5_tlr3em4_h-mr_s2
hopper-medium-replay-v2,h-mr,3e-4,3em4,3,0,0,,,td3rapo_jax_t5_tlr3em4_h-mr_s3
hopper-medium-expert-v2,h-me,3e-4,3em4,0,1000000,1,49.753798,50,td3rapo_jax_t5_tlr3em4_h-me_s0
hopper-medium-expert-v2,h-me,3e-4,3em4,1,1000000,1,0.692250,50,td3rapo_jax_t5_tlr3em4_h-me_s1
hopper-medium-expert-v2,h-me,3e-4,3em4,2,619800,0,,,td3rapo_jax_t5_tlr3em4_h-me_s2
hopper-medium-expert-v2,h-me,3e-4,3em4,3,0,0,,,td3rapo_jax_t5_tlr3em4_h-me_s3
walker2d-medium-v2,w-m,3e-4,3em4,0,1000000,1,1.899400,50,td3rapo_jax_t5_tlr3em4_w-m_s0
walker2d-medium-v2,w-m,3e-4,3em4,1,1000000,1,2.217715,50,td3rapo_jax_t5_tlr3em4_w-m_s1
walker2d-medium-v2,w-m,3e-4,3em4,2,283800,0,,,td3rapo_jax_t5_tlr3em4_w-m_s2
walker2d-medium-v2,w-m,3e-4,3em4,3,0,0,,,td3rapo_jax_t5_tlr3em4_w-m_s3
walker2d-medium-replay-v2,w-mr,3e-4,3em4,0,1000000,1,84.376179,50,td3rapo_jax_t5_tlr3em4_w-mr_s0
walker2d-medium-replay-v2,w-mr,3e-4,3em4,1,1000000,1,92.546624,50,td3rapo_jax_t5_tlr3em4_w-mr_s1
walker2d-medium-replay-v2,w-mr,3e-4,3em4,2,0,0,,,td3rapo_jax_t5_tlr3em4_w-mr_s2
walker2d-medium-replay-v2,w-mr,3e-4,3em4,3,0,0,,,td3rapo_jax_t5_tlr3em4_w-mr_s3
walker2d-medium-expert-v2,w-me,3e-4,3em4,0,1000000,1,-0.092982,50,td3rapo_jax_t5_tlr3em4_w-me_s0
walker2d-medium-expert-v2,w-me,3e-4,3em4,1,1000000,1,44.130065,50,td3rapo_jax_t5_tlr3em4_w-me_s1
walker2d-medium-expert-v2,w-me,3e-4,3em4,2,0,0,,,td3rapo_jax_t5_tlr3em4_w-me_s2
walker2d-medium-expert-v2,w-me,3e-4,3em4,3,0,0,,,td3rapo_jax_t5_tlr3em4_w-me_s3
