env,short,alpha_lr,rho_tag,seed,step,trained_1m,normalized_score,episodes,run
hopper-medium-v2,h-m,1e-4,1em4,0,1000000,1,62.630649,50,td3rapo_jax_t5_tlr1em4_h-m_s0
hopper-medium-v2,h-m,1e-4,1em4,1,1000000,1,73.733641,50,td3rapo_jax_t5_tlr1em4_h-m_s1
hopper-medium-v2,h-m,1e-4,1em4,2,1000000,1,57.634731,50,td3rapo_jax_t5_tlr1em4_h-m_s2
hopper-medium-v2,h-m,1e-4,1em4,3,1000000,1,55.386928,50,td3rapo_jax_t5_tlr1em4_h-m_s3
hopper-medium-replay-v2,h-mr,1e-4,1em4,0,1000000,1,39.091569,50,td3rapo_jax_t5_tlr1em4_h-mr_s0
hopper-medium-replay-v2,h-mr,1e-4,1em4,1,1000000,1,43.953566,50,td3rapo_jax_t5_tlr1em4_h-mr_s1
hopper-medium-replay-v2,h-mr,1e-4,1em4,2,1000000,1,50.619940,50,td3rapo_jax_t5_tlr1em4_h-mr_s2
hopper-medium-replay-v2,h-mr,1e-4,1em4,3,1000000,1,73.492959,50,td3rapo_jax_t5_tlr1em4_h-mr_s3
hopper-medium-expert-v2,h-me,1e-4,1em4,0,1000000,1,109.352500,50,td3rapo_jax_t5_tlr1em4_h-me_s0
hopper-medium-expert-v2,h-me,1e-4,1em4,1,1000000,1,99.491522,50,td3rapo_jax_t5_tlr1em4_h-me_s1
hopper-medium-expert-v2,h-me,1e-4,1em4,2,1000000,1,109.055498,50,td3rapo_jax_t5_tlr1em4_h-me_s2
hopper-medium-expert-v2,h-me,1e-4,1em4,3,1000000,1,49.554136,50,td3rapo_jax_t5_tlr1em4_h-me_s3
walker2d-medium-v2,w-m,1e-4,1em4,0,1000000,1,11.797924,50,td3rapo_jax_t5_tlr1em4_w-m_s0
walker2d-medium-v2,w-m,1e-4,1em4,1,1000000,1,11.931972,50,td3rapo_jax_t5_tlr1em4_w-m_s1
walker2d-medium-v2,w-m,1e-4,1em4,2,1000000,1,10.560008,50,td3rapo_jax_t5_tlr1em4_w-m_s2
walker2d-medium-v2,w-m,1e-4,1em4,3,1000000,1,9.405039,50,td3rapo_jax_t5_tlr1em4_w-m_s3
walker2d-medium-replay-v2,w-mr,1e-4,1em4,0,1000000,1,21.631450,50,td3rapo_jax_t5_tlr1em4_w-mr_s0
walker2d-medium-replay-v2,w-mr,1e-4,1em4,1,1000000,1,91.025731,50,td3rapo_jax_t5_tlr1em4_w-mr_s1
walker2d-medium-replay-v2,w-mr,1e-4,1em4,2,1000000,1,85.885954,50,td3rapo_jax_t5_tlr1em4_w-mr_s2
walker2d-medium-replay-v2,w-mr,1e-4,1em4,3,1000000,1,81.503649,50,td3rapo_jax_t5_tlr1em4_w-mr_s3
walker2d-medium-expert-v2,w-me,1e-4,1em4,0,1000000,1,54.394264,50,td3rapo_jax_t5_tlr1em4_w-me_s0
walker2d-medium-expert-v2,w-me,1e-4,1em4,1,1000000,1,111.359584,50,td3rapo_jax_t5_tlr1em4_w-me_s1
walker2d-medium-expert-v2,w-me,1e-4,1em4,2,1000000,1,109.050076,50,td3rapo_jax_t5_tlr1em4_w-me_s2
walker2d-medium-expert-v2,w-me,1e-4,1em4,3,1000000,1,5.034694,50,td3rapo_jax_t5_tlr1em4_w-me_s3
